pbid	count_fl	norm_fl
PB.3796.1	2	3.6e-07
PB.3796.2	2	3.6e-07
PB.3797.1	2	3.6e-07
PB.3798.1	2	3.6e-07
PB.3799.1	3	5.3e-07
PB.3799.2	2	3.6e-07
PB.3803.1	2	3.6e-07
PB.3803.3	6	1.1e-06
PB.3804.1	5	8.9e-07
PB.3804.2	17	3e-06
PB.3808.1	2	3.6e-07
PB.3810.4	28	5e-06
PB.3810.5	2	3.6e-07
PB.3811.2	2	3.6e-07
PB.3811.3	2	3.6e-07
PB.3812.1	2	3.6e-07
PB.3812.2	4	7.1e-07
PB.3813.1	4	7.1e-07
PB.3814.2	3	5.3e-07
PB.3814.4	2	3.6e-07
PB.3815.1	3	5.3e-07
PB.3818.1	2	3.6e-07
PB.3819.1	2	3.6e-07
PB.3820.1	10	1.8e-06
PB.3820.2	2	3.6e-07
PB.3820.3	9	1.6e-06
PB.3820.4	2	3.6e-07
PB.3820.5	2	3.6e-07
PB.3821.1	21	3.7e-06
PB.3821.2	46	8.2e-06
PB.3821.3	2	3.6e-07
PB.3821.4	2	3.6e-07
PB.3821.5	2	3.6e-07
PB.3821.6	3	5.3e-07
PB.3821.7	4	7.1e-07
PB.3822.1	2	3.6e-07
PB.3823.1	6	1.1e-06
PB.3826.1	2	3.6e-07
PB.3827.1	28	5e-06
PB.3827.2	48	8.6e-06
PB.3827.3	5	8.9e-07
PB.3827.4	4	7.1e-07
PB.3827.5	4	7.1e-07
PB.3827.6	2	3.6e-07
PB.3827.7	2	3.6e-07
PB.3828.1	2	3.6e-07
PB.3828.2	2	3.6e-07
PB.3829.1	2	3.6e-07
PB.3830.3	2	3.6e-07
PB.3830.4	2	3.6e-07
PB.3831.1	3	5.3e-07
PB.3831.3	4	7.1e-07
PB.3831.4	2	3.6e-07
PB.3831.5	2	3.6e-07
PB.3833.1	2	3.6e-07
PB.3833.2	2	3.6e-07
PB.3835.1	2	3.6e-07
PB.3836.1	5	8.9e-07
PB.3836.2	2	3.6e-07
PB.3836.3	5	8.9e-07
PB.3836.4	2	3.6e-07
PB.3838.1	4	7.1e-07
PB.3838.2	2	3.6e-07
PB.3841.11	3	5.3e-07
PB.3841.12	2	3.6e-07
PB.3841.13	428	7.6e-05
PB.3841.14	9	1.6e-06
PB.3841.15	2	3.6e-07
PB.3841.16	2	3.6e-07
PB.3841.21	2	3.6e-07
PB.3841.24	2	3.6e-07
PB.3843.1	3	5.3e-07
PB.3844.1	18	3.2e-06
PB.3844.2	2	3.6e-07
PB.3845.1	2	3.6e-07
PB.3846.1	2	3.6e-07
PB.3848.1	2	3.6e-07
PB.3851.1	2	3.6e-07
PB.3852.3	3	5.3e-07
PB.3853.1	43	7.7e-06
PB.3853.2	15	2.7e-06
PB.3854.1	2	3.6e-07
PB.3855.1	4	7.1e-07
PB.3856.1	2	3.6e-07
PB.3857.1	2	3.6e-07
PB.3858.1	4	7.1e-07
PB.3860.1	2	3.6e-07
PB.3861.1	6	1.1e-06
PB.3861.2	7	1.2e-06
PB.3861.3	2	3.6e-07
PB.3863.3	2	3.6e-07
PB.3863.4	2	3.6e-07
PB.3863.5	2	3.6e-07
PB.3863.6	4	7.1e-07
PB.3865.1	3	5.3e-07
PB.3865.2	8	1.4e-06
PB.3865.3	2	3.6e-07
PB.3867.2	2	3.6e-07
PB.3868.1	66	1.2e-05
PB.3869.4	3	5.3e-07
PB.3870.1	2	3.6e-07
PB.3871.1	2	3.6e-07
PB.3872.1	7	1.2e-06
PB.3872.2	3	5.3e-07
PB.3872.3	7	1.2e-06
PB.3873.2	4	7.1e-07
PB.3873.3	2	3.6e-07
PB.3875.1	63	1.1e-05
PB.3876.1	6	1.1e-06
PB.3876.2	12	2.1e-06
PB.3876.3	3	5.3e-07
