id,ratio_TSS_0,ratio_TSS_1
ENST00000615943.1,,
ENST00000635667.1,,
ENST00000624155.2,,
ENST00000422332.1,,
ENST00000612732.1,,
ENST00000672261.1,,
ENST00000657566.1,,
ENST00000657645.1,,
ENST00000634617.1,,
ENST00000613107.1,,
ENST00000623391.1,,
ENST00000448473.1,,
ENST00000623199.1,,
ENST00000425869.1,,
ENST00000441221.1,,
ENST00000429435.1,,
ENST00000643195.1,,
ENST00000412729.1,,
ENST00000443989.1,,
ENST00000444162.1,,
ENST00000417863.1,,
ENST00000456143.1,,
ENST00000447704.1,,
ENST00000428118.1,,
ENST00000438441.1,,
ENST00000440999.1,,
ENST00000426025.1,,
ENST00000435410.1,,
ENST00000343518.11,,
ENST00000621704.4,,301.0
ENST00000390914.1,,
ENST00000422014.1,,
ENST00000417657.1,,
ENST00000453395.5,,
ENST00000423297.1,,
ENST00000438574.1,,
ENST00000413768.5,2001.0000000000002,2501.0
ENST00000437781.5,9.955223880597016,2501.0
ENST00000661115.1,4.990024937655861,6.236907730673318
ENST00000447898.5,3.495840266222962,6.236907730673318
ENST00000661156.1,1.2591632728619029,1.0357015351660122
ENST00000657965.1,0.8889505830094392,1.3996003996003996
ENST00000414726.1,1.2498750624687656,1.3682272488164124
ENST00000440946.5,2.4962593516209477,1.0
ENST00000609679.1,1.9950248756218907,1.1663893510815309
ENST00000608286.1,1.4541326067211628,1.8515364679748239
ENST00000456786.2,1.0999000999000998,1.1153402537485582
ENST00000420638.2,,1.9950248756218907
ENST00000398242.2,,
ENST00000448070.1,,
ENST00000424770.1,,
ENST00000612550.1,,
ENST00000399687.3,1.3322259136212624,
ENST00000427602.1,,
ENST00000426076.1,,
ENST00000421957.1,,
ENST00000623630.1,,
ENST00000450340.1,,
ENST00000609641.1,,
ENST00000454360.1,,
ENST00000493696.2,,
ENST00000359963.4,,
ENST00000656324.1,,
ENST00000430910.1,,
ENST00000558085.6,,
ENST00000592918.5,,
ENST00000592107.5,,
ENST00000591299.1,,1.9950248756218907
ENST00000588548.1,1.0,1.0
ENST00000438850.1,1.4975124378109452,
ENST00000636884.1,4.96039603960396,2.492537313432836
ENST00000508033.1,1.9950248756218907,0.7146932952924394
ENST00000510265.2,,
ENST00000456726.5,,
ENST00000434304.2,,
ENST00000423580.2,,
ENST00000457911.1,,
ENST00000670988.1,,
ENST00000665507.1,,
ENST00000331428.5,,
ENST00000684488.1,,
ENST00000425038.1,,
ENST00000423928.2,,
ENST00000442797.1,,
ENST00000637740.1,,
ENST00000422608.1,,
ENST00000404435.1,,
ENST00000442403.1,,
ENST00000448961.1,,
ENST00000412238.1,,
ENST00000427470.1,,
ENST00000458718.2,,
ENST00000523309.2,,
ENST00000521969.2,,
ENST00000517943.2,,
ENST00000521497.2,,
ENST00000643267.1,,
ENST00000643316.1,,
ENST00000400588.5,,
ENST00000605217.1,,
ENST00000614184.1,,
ENST00000441006.5,,
ENST00000609932.5,,1.1996007984031936
ENST00000636648.1,,2.9900497512437814
ENST00000608373.1,,
ENST00000609791.1,1.0,
ENST00000612619.1,,
ENST00000319363.11,,
ENST00000429106.1,,
ENST00000331437.4,,
ENST00000399875.1,,
ENST00000654656.1,,
ENST00000399852.3,301.0,
ENST00000336737.8,,
ENST00000431923.1,,
ENST00000155674.9,,1.0
ENST00000428401.1,,
ENST00000330232.8,,
ENST00000262607.3,,
ENST00000344033.5,,
ENST00000649540.1,,
ENST00000399837.8,,
ENST00000610390.4,,
ENST00000449907.7,,
ENST00000399839.5,,
ENST00000428828.1,,
ENST00000453421.1,,
ENST00000485262.3,,
ENST00000400585.7,,
ENST00000262608.13,,
ENST00000342247.10,,
ENST00000455617.1,,
ENST00000455251.1,,
ENST00000612582.1,,
ENST00000437347.1,1.0,1.0
ENST00000399813.1,,
ENST00000327451.11,,
ENST00000651475.1,,
ENST00000443935.5,,
ENST00000399796.6,14.432835820895525,36.64356435643564
ENST00000253413.10,14.432835820895525,36.64356435643564
ENST00000399798.6,14.432835820895525,36.64356435643564
ENST00000399782.5,,
ENST00000611738.4,,
ENST00000618481.4,,
ENST00000616863.4,,
ENST00000543133.5,,
ENST00000538149.5,,
ENST00000418951.6,,
ENST00000337612.9,,
ENST00000317582.10,601.0,6.472636815920398
ENST00000493680.5,601.0,5.983388704318938
ENST00000355028.4,1.9966777408637875,2.711840228245364
ENST00000583102.1,1.0,1.0
ENST00000317361.11,1.2496878901373283,1.0
ENST00000342111.9,1.598802395209581,2.32890365448505
ENST00000622694.5,801.0,701.0
ENST00000399765.5,801.0,701.0
ENST00000399767.6,801.0,601.0
ENST00000614949.4,801.0,601.0
ENST00000551952.5,,
ENST00000600723.1,,
ENST00000657505.1,,0.7146932952924394
ENST00000476405.1,1.3322259136212624,
ENST00000414725.6,1.2493765586034913,1.8455034588777866
ENST00000383094.7,1.9966777408637875,1.9990917347865578
ENST00000400561.6,2.9900497512437814,2.098901098901099
