target_id	length	eff_length	est_counts	tpm
PB.118859.1	320	144.645	0	0
PB.83093.1	988	809.32	0	0
PB.52878.1	1688	1509.32	0	0
PB.96068.1	794	615.32	0	0
PB.111548.1	534	355.32	1.00912	45.2343
PB.124735.1	3761	3582.32	1	4.44612
PB.137288.1	3192	3013.32	0	0
PB.137289.1	3046	2867.32	2.03452	11.3014
PB.52879.1	1773	1594.32	0	0
PB.68181.1	1472	1293.32	2.03133	25.0161
PB.30357.1	2003	1824.32	0	0
PB.124736.1	3699	3520.32	0	0
PB.68182.1	1430	1251.32	0	0
PB.124736.2	3567	3388.32	0	0
PB.118860.1	224	63.7471	0	0
PB.30357.2	2027	1848.32	2.93454	25.2876
PB.15672.2	2304	2125.32	10.5092	78.7575
PB.137290.1	3072	2893.32	0	0
PB.124736.3	3501	3322.32	0	0
PB.124736.4	3467	3288.32	0	0
PB.130815.3	3252	3073.32	42.3191	219.318
PB.103684.1	675	496.32	0	0
PB.30357.3	2023	1844.32	0	0
PB.103684.2	738	559.32	0	0
PB.111549.1	481	302.359	14.2096	748.52
PB.3796.1	5749	5570.32	57.4308	164.214
PB.83094.1	1008	829.32	4.72061	90.6611
PB.83094.2	1092	913.32	18.4386	321.552
PB.130815.4	3430	3251.32	36.7233	179.898
PB.83094.3	1058	879.32	24.6644	446.755
PB.137290.2	3152	2973.32	0	0
PB.143795.2	2902	2723.32	0	0
PB.143795.3	2804	2625.32	0	0
PB.8631.2	4307	4128.32	9.99145	38.5479
PB.164508.1	2386	2207.32	52.0486	375.568
PB.137290.3	3114	2935.32	0	0
PB.3796.2	5327	5148.32	0	0
PB.111549.2	425	246.359	2.49738	161.459
PB.164508.2	2350	2171.32	0	0
PB.143795.4	2908	2729.32	7.43222	43.372
PB.75664.1	1258	1079.32	0.00106904	0.0157757
PB.96069.2	725	546.32	0.0552276	1.61011
PB.96069.3	863	684.32	0	0
PB.130815.5	3288	3109.32	10.4539	53.5499
PB.164508.3	2469	2290.32	18.2105	126.64
PB.118861.1	283	111.295	2	286.22
PB.111550.1	538	359.32	5.37104	238.08
PB.130815.6	3336	3157.32	68	343.033
PB.68182.2	1342	1163.32	18.2674	250.105
PB.37823.3	1865	1686.32	25	236.127
