rescue_candidate	mapping_hit	sam_flag	hit_filter_result	candidate_structural_category	rescue_result	exclusion_reason	best_match_for_candidate	best_match_id
PB.30357.1	ENST00000657965.1	0	Isoform	novel_not_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000657965.1
PB.30357.1	ENST00000413768.5	2048	Artifact	novel_not_in_catalog	not_rescued	artifact_by_rules	reference_transcript	ENST00000657965.1
PB.30357.1	ENST00000437781.5	256	Isoform	novel_not_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000657965.1
PB.30357.1	PB.164508.1	256	Isoform	novel_not_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000657965.1
PB.124736.1	PB.8631.2	0	Isoform	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.8631.2
PB.30357.2	ENST00000661115.1	0	Isoform	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000661115.1
PB.30357.2	PB.130815.4	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000661115.1
PB.15672.2	ENST00000437781.5	0	Isoform	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000437781.5
PB.15672.2	PB.164508.1	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000437781.5
PB.15672.2	PB.30357.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000437781.5
PB.15672.2	ENST00000413768.5	256	Artifact	novel_in_catalog	not_rescued	artifact_by_rules	reference_transcript	ENST00000437781.5
PB.15672.2	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000437781.5
PB.137290.1	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.137290.1	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.137290.1	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.137290.1	ENST00000437781.5	256	Isoform	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000447898.5
PB.137290.1	PB.164508.1	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.3	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.124736.3	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.3	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.3	ENST00000661115.1	2048	Isoform	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000447898.5
PB.124736.3	PB.111549.1	2048	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.3	PB.111549.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.3	PB.8631.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.4	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.124736.4	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.4	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.4	ENST00000437781.5	256	Isoform	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000447898.5
PB.124736.4	PB.164508.1	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.124736.4	ENST00000413768.5	2048	Artifact	novel_in_catalog	not_rescued	artifact_by_rules	reference_transcript	ENST00000447898.5
PB.130815.3	PB.143795.2	0	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	PB.143795.2
PB.130815.3	ENST00000447898.5	256	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	PB.143795.2
PB.130815.3	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	PB.143795.2
PB.3796.1	PB.8631.2	0	Isoform	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.8631.2
PB.83094.2	ENST00000437781.5	0	Isoform	novel_not_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000437781.5
PB.83094.2	PB.164508.1	256	Isoform	novel_not_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000437781.5
PB.83094.2	ENST00000413768.5	256	Artifact	novel_not_in_catalog	not_rescued	artifact_by_rules	reference_transcript	ENST00000437781.5
PB.83094.3	ENST00000413768.5	0	Artifact	novel_not_in_catalog	not_rescued	artifact_by_rules	reference_transcript	ENST00000437781.5,PB.164508.1
PB.83094.3	ENST00000437781.5	256	Isoform	novel_not_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000437781.5,PB.164508.1
PB.83094.3	PB.164508.1	256	Isoform	novel_not_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000437781.5,PB.164508.1
PB.137290.2	PB.143795.2	0	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	PB.143795.2
PB.137290.2	ENST00000447898.5	256	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	PB.143795.2
PB.137290.2	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	PB.143795.2
PB.137290.2	ENST00000437781.5	256	Isoform	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	PB.143795.2
PB.137290.2	PB.164508.1	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	PB.143795.2
PB.143795.3	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.143795.3	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.143795.3	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.137290.3	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.137290.3	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.137290.3	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.3796.2	PB.8631.2	0	Isoform	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.8631.2
PB.164508.2	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.164508.2	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.164508.2	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.143795.4	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
PB.143795.4	PB.143795.2	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.143795.4	PB.164508.3	256	Isoform	novel_in_catalog	not_rescued	long_read_transcript	reference_transcript	ENST00000447898.5
PB.96069.2	ENST00000437781.5	0	Isoform	incomplete-splice_match	not_rescued	reference_already_present	reference_transcript	ENST00000437781.5
PB.96069.2	PB.164508.1	256	Isoform	incomplete-splice_match	not_rescued	long_read_transcript	reference_transcript	ENST00000437781.5
PB.96069.2	ENST00000413768.5	256	Artifact	incomplete-splice_match	not_rescued	artifact_by_rules	reference_transcript	ENST00000437781.5
PB.130815.5	ENST00000447898.5	0	Isoform	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000447898.5
