isoform	chrom	strand	junction_number	genomic_start_coord	genomic_end_coord	transcript_coord	junction_category	start_site_category	end_site_category	diff_to_Ref_start_site	diff_to_Ref_end_site	bite_junction	splice_site	canonical	RTS_junction	indel_near_junct	phyloP_start	phyloP_end	sample_with_cov	total_coverage	chr13_SR_support.star.SJ.out
PB.3036.1	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.1	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.1	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.2	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.2	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.2	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.2	13	+	junction_4	19648522	19650002	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	194	194
PB.3036.2	13	+	junction_5	19650261	19658994	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	326	326
PB.3036.2	13	+	junction_6	19659121	19659200	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	276	276
PB.3036.2	13	+	junction_7	19659290	19661697	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	164	164
PB.3036.2	13	+	junction_8	19661839	19663039	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	220	220
PB.3036.2	13	+	junction_9	19663127	19666424	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	272	272
