Version	5.4
Input	/home/pabloati/Programs/sqanti3/data/reference/gencode.v38.basic_chr22.gtf
Annotation	/home/pabloati/Programs/sqanti3/data/reference/gencode.v38.basic_chr22.gtf
Genome	/home/pabloati/Programs/sqanti3/data/reference/GRCh38.p13_chr22.fasta
MinRefLength	0
ForceIdIgnore	False
Aligner	minimap2
FLCount	NA
Expression	NA
Junction	NA
CAGEPeak	/home/pabloati/Programs/sqanti3/data/ref_TSS_annotation/human.refTSS_v3.1.hg38.bed
PolyAMotif	/home/pabloati/Programs/sqanti3/data/polyA_motifs/mouse_and_human.polyA_motif.txt
PolyAPeak	NA
IsFusion	False
PhyloP	NA
SkipORF	False
ORFInput	NA
FASTAused	False
Expression	NA
GMAPindex	NA
OutputPrefix	gencode.v38.basic_chr22
OutputDirectory	/home/pabloati/Programs/sqanti3/example/SQANTI3_QC_reference
Coverage	NA
CanonicalSites	ATAC,GCAG,GTAG
PostTTSWindow	20
GeneName	False
ReportType	skip
RunIsoAnnotLite	False
isoAnnotGFF3	NA
ShortReads	/home/pabloati/Programs/sqanti3/data/UHR_chr22_short_reads.fofn
ShortReadsBAMs	NA
ratioTSSmetric	max
