ENSG00000023608	NM_003082	SNAPC1
ENSG00000090776	NM_004429	EFNB1
ENSG00000101421	NM_176812	CHMP4B
ENSG00000102218	NM_006915	RP2
ENSG00000105617	NM_024316	LENG1
ENSG00000107338	NM_003028	SHB
ENSG00000116903	NM_175876	EXOC8
ENSG00000119669	NM_024496	IRF2BPL
ENSG00000120696	NM_032138	KBTBD7
ENSG00000120738	NM_001964	EGR1
ENSG00000124659	NM_003192	TBCC
ENSG00000125352	NM_006978	RNF113A
ENSG00000125817	NM_001810	CENPB
ENSG00000127920	NM_004126	GNG11
ENSG00000132467	NM_020368	UTP3
ENSG00000135211	NM_032936	TMEM60
ENSG00000136897	NM_019051	MRPL50
ENSG00000139832	NM_017817	RAB20
ENSG00000140406	NM_022566	TLNRD1
ENSG00000142544	NM_145232	CTU1
ENSG00000143751	NM_152608	SDE2
ENSG00000143878	NM_004040	RHOB
ENSG00000146066	NM_138820	HIGD2A
ENSG00000146109	NM_013375	ABT1
ENSG00000146676	NM_033224	PURB
ENSG00000148730	NM_004096	EIF4EBP2
ENSG00000149218	NM_015036	ENDOD1
ENSG00000155252	NM_018425	PI4K2A
ENSG00000155876	NM_006570	RRAGA
ENSG00000162783	NM_016545	IER5
ENSG00000162817	NM_024709	C1orf115
ENSG00000163794	NM_003353	UCN
ENSG00000165312	NM_001145373	OTUD1
ENSG00000165572	NM_152903	KBTBD6
ENSG00000166189	NM_024747	HPS6
ENSG00000168040	NM_003824	FADD
ENSG00000168282	NM_002408	MGAT2
ENSG00000168286	NM_020457	THAP11
ENSG00000169564	NM_006196	PCBP1
ENSG00000169976	NM_031287	SF3B5
ENSG00000170385	NM_021194	SLC30A1
ENSG00000170468	NM_024644	RIOX1
ENSG00000170604	NM_015649	IRF2BP1
ENSG00000171223	NM_002229	JUNB
ENSG00000173456	NM_032015	RNF26
ENSG00000174529	NM_203376	TMEM81
ENSG00000175073	NM_025054	VCPIP1
ENSG00000175283	NM_014908	DOLK
ENSG00000175602	NM_006848	CCDC85B
ENSG00000176022	NM_080605	B3GALT6
ENSG00000176340	NM_004074	COX8A
ENSG00000176396	NM_153232	EID2
ENSG00000176410	NM_032317	DNAJC30
ENSG00000176903	NM_006029	PNMA1
ENSG00000176994	NM_144775	SMCR8
ENSG00000177352	NM_022903	CCDC71
ENSG00000177370	NM_013337	TIMM22
ENSG00000177383	NM_022149	MAGEF1
ENSG00000177613	NM_015235	CSTF2T
ENSG00000178397	,NM_001037163	FAM220A
ENSG00000178695	NM_138444	KCTD12
ENSG00000178718	NM_017793	RPP25
ENSG00000179041	NM_015169	RRS1
ENSG00000179886	NM_032862	TIGD5
ENSG00000179918	NM_012248	SEPHS2
ENSG00000181274	NM_012083	FRAT2
ENSG00000182154	NM_032477	MRPL41
ENSG00000182810	NM_018380	DDX28
ENSG00000184678	NM_003528	H2BC21
ENSG00000185085	NM_030628	INTS5
ENSG00000185112	NM_153690	FAM43A
ENSG00000185115	NM_138704	NSMCE3
ENSG00000186222	NM_018366	BLOC1S4
ENSG00000186834	NM_006460	HEXIM1
ENSG00000187601	NM_014061	MAGEH1
ENSG00000187650	NM_001017921	VMAC
ENSG00000187713	NM_053045	TMEM203
ENSG00000187866	NM_138333	PABIR1
ENSG00000188021	NM_013444	UBQLN2
ENSG00000188636	NM_032287	RTL6
ENSG00000189060	NM_005318	H1-0
ENSG00000196544	NM_017622	BORCS6
ENSG00000196981	NM_019069	WDR5B
ENSG00000197417	NM_013276	SHPK
ENSG00000198841	NM_138417	KTI12
ENSG00000204388	NM_005346	HSPA1B
ENSG00000204439	NM_021184	C6orf47
ENSG00000205138	NM_001042631	SDHAF1
ENSG00000205808	NM_203453	PLPP6
ENSG00000221821	NM_001008739	C6orf226
ENSG00000221869	NM_005195	CEBPD
ENSG00000223496	NM_058219	EXOSC6
ENSG00000226479	NM_024121	TMEM185B
ENSG00000243056	NM_003732	EIF4EBP3
ENSG00000243509	NM_003823	TNFRSF6B
ENSG00000243749	NM_001195156	TMEM35B
ENSG00000247315	NM_033089	ZCCHC3
ENSG00000253719	NM_001136262	ATXN7L3B
ENSG00000253797	NM_021645	UTP14C
ENSG00000254470	NM_138368	AP5B1
ENSG00000256537	NM_001271592	SMIM10L1
ENSG00000258429	NM_022341	PDF
ENSG00000259956	NM_013286	RBM15B
ENSG00000262814	NM_002949	MRPL12
ENSG00000267368	NM_001114403	UPK3BL1
ENSG00000270170	NM_001355243	NCBP2AS2
ENSG00000271303	NM_080725	SRXN1
ENSG00000271601	NM_153713	LIX1L
ENSG00000272325	NM_006703	NUDT3
ENSG00000280789	NM_024516	PAGR1
ENSG00000281991	NM_001256829	TMEM265
