isoform	structural_category	filter_reason
PB.3796.1	novel_not_in_catalog	perc_A_downstream_TTS: 90.0 > 59; min_cov: 0.0 < 3
PB.3796.2	novel_not_in_catalog	min_cov: 0.0 < 3; perc_A_downstream_TTS: 75.0 > 59; RTS_stage: True
PB.3797.1	fusion	min_cov: 1.0 < 3; perc_A_downstream_TTS: 85.0 > 59
PB.3799.1	incomplete-splice_match	perc_A_downstream_TTS: 90.0 > 59; min_cov: 0.0 < 3; RTS_stage: True
PB.3799.2	novel_not_in_catalog	perc_A_downstream_TTS: 100.0 > 59; RTS_stage: True
PB.3813.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.3814.2	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.3814.4	novel_in_catalog	perc_A_downstream_TTS: 90.0 > 59
PB.3820.5	novel_not_in_catalog	min_cov: 1.0 < 3; perc_A_downstream_TTS: 85.0 > 59
PB.3821.4	novel_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.3821.6	incomplete-splice_match	perc_A_downstream_TTS: 85.0 > 59
PB.3826.1	genic_intron	all_canonical: nan; perc_A_downstream_TTS: 70.0 > 59
PB.3828.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.3828.2	incomplete-splice_match	perc_A_downstream_TTS: 90.0 > 59; min_cov: 2.0 < 3
PB.3830.4	novel_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.3835.1	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.3836.4	novel_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.3841.11	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.3841.12	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.3841.14	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3841.15	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3841.16	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3841.21	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3841.24	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3846.1	novel_in_catalog	perc_A_downstream_TTS: 100.0 > 59
PB.3848.1	novel_in_catalog	perc_A_downstream_TTS: 85.0 > 59
PB.3853.1	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
PB.3853.2	novel_in_catalog	min_cov: 1.0 < 3; perc_A_downstream_TTS: 85.0 > 59
PB.3854.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.3855.1	genic	all_canonical: nan; perc_A_downstream_TTS: 85.0 > 59
PB.3856.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; perc_A_downstream_TTS: 80.0 > 59
PB.3863.4	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3865.3	novel_not_in_catalog	min_cov: 0.0 < 3; perc_A_downstream_TTS: 75.0 > 59
PB.3870.1	novel_not_in_catalog	perc_A_downstream_TTS: 90.0 > 59; min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.3871.1	incomplete-splice_match	perc_A_downstream_TTS: 100.0 > 59
PB.3872.1	incomplete-splice_match	perc_A_downstream_TTS: 90.0 > 59; min_cov: 1.0 < 3
PB.3872.2	novel_in_catalog	perc_A_downstream_TTS: 90.0 > 59; min_cov: 0.0 < 3
PB.3872.3	novel_not_in_catalog	RTS_stage: True
PB.3878.1	incomplete-splice_match	RTS_stage: True
PB.8633.1	genic_intron	all_canonical: nan; perc_A_downstream_TTS: 85.0 > 59
PB.8637.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
PB.8639.2	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.8639.5	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.8639.7	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8639.8	novel_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.8640.1	incomplete-splice_match	perc_A_downstream_TTS: 90.0 > 59; min_cov: 0.0 < 3
PB.8641.1	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8645.1	novel_in_catalog	perc_A_downstream_TTS: 100.0 > 59; all_canonical: nan
PB.8646.2	incomplete-splice_match	perc_A_downstream_TTS: 100.0 > 59
PB.8649.3	incomplete-splice_match	perc_A_downstream_TTS: 95.0 > 59
PB.8649.5	novel_in_catalog	perc_A_downstream_TTS: 60.0 > 59; min_cov: 0.0 < 3
PB.8649.6	novel_not_in_catalog	perc_A_downstream_TTS: 60.0 > 59; min_cov: 2.0 < 3
PB.8655.3	incomplete-splice_match	perc_A_downstream_TTS: 100.0 > 59
PB.8656.1	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8656.2	novel_not_in_catalog	RTS_stage: True
PB.8657.1	genic	all_canonical: nan; perc_A_downstream_TTS: 95.0 > 59
PB.8661.4	genic_intron	all_canonical: nan; perc_A_downstream_TTS: 80.0 > 59
PB.8665.2	novel_in_catalog	min_cov: 2.0 < 3; RTS_stage: True
PB.8666.1	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
PB.8666.2	novel_in_catalog	min_cov: 0.0 < 3; perc_A_downstream_TTS: 100.0 > 59
PB.8668.1	novel_in_catalog	perc_A_downstream_TTS: 90.0 > 59
PB.8672.1	fusion	min_cov: 0.0 < 3; perc_A_downstream_TTS: 85.0 > 59
PB.8687.2	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.8688.6	incomplete-splice_match	RTS_stage: True
PB.8689.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; RTS_stage: True
PB.8689.2	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8689.3	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
PB.8691.1	incomplete-splice_match	perc_A_downstream_TTS: 90.0 > 59; min_cov: 0.0 < 3
PB.8698.1	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8699.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.8705.1	novel_in_catalog	min_cov: 1.0 < 3; perc_A_downstream_TTS: 85.0 > 59
PB.8706.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical; perc_A_downstream_TTS: 95.0 > 59
PB.8707.3	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
PB.8707.4	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
PB.8715.3	incomplete-splice_match	perc_A_downstream_TTS: 90.0 > 59
PB.8721.2	novel_not_in_catalog	min_cov: 0.0 < 3; perc_A_downstream_TTS: 100.0 > 59
PB.8723.1	novel_in_catalog	perc_A_downstream_TTS: 90.0 > 59
PB.8724.1	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True; perc_A_downstream_TTS: 85.0 > 59
PB.8724.2	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8724.3	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8724.4	novel_not_in_catalog	RTS_stage: True; min_cov: 1.0 < 3
PB.8724.5	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8726.1	novel_not_in_catalog	min_cov: 2.0 < 3; RTS_stage: True
PB.8726.2	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8726.4	novel_not_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.8728.1	genic_intron	all_canonical: nan; perc_A_downstream_TTS: 95.0 > 59
PB.8734.1	incomplete-splice_match	RTS_stage: True
PB.8736.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.8736.2	novel_in_catalog	min_cov: 2.0 < 3; RTS_stage: True
PB.15672.2	novel_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.15679.1	novel_not_in_catalog	min_cov: 0.0 < 3; all_canonical: non_canonical
PB.15684.4	novel_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
PB.15684.6	novel_in_catalog	min_cov: 0.0 < 3; RTS_stage: True
