Version	5.4
Mode	ml
ClassificationFile	example/SQANTI3_QC_output/UHR_chr22_classification.txt
Isoforms	example/SQANTI3_QC_output/UHR_chr22_corrected.fasta
GTF	example/SQANTI3_QC_output/UHR_chr22_corrected.gtf
SAM	NA
FAA	example/SQANTI3_QC_output/UHR_chr22_corrected.faa
isoAnnotGFF3	NA
OutputPrefix	UHR_chr22
OutputDirectory	/home/pabloati/Programs/sqanti3/example/ml_filter_output
FilterMonoexonic	False
SkipReport	False
PercentTraining	0.8
TP	NA
TN	NA
Threshold	0.7
ForceFSM	True
KeepIntermediate	False
ColumnsRemoved	NA
MaxClassSize	3000
Intrapriming	60.0
