rescue_candidate	mapping_hit	sam_flag	hit_POS_MLprob	candidate_structural_category	rescue_result	exclusion_reason	best_match_for_candidate	best_match_id
PB.137289.1	NA	4	NA	novel_not_in_catalog	not_rescued	ML_probability	unknown	unknown
PB.30357.1	ENST00000657965.1	0	0.508	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.30357.1	PB.137290.2	2048	0.81	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.30357.1	PB.124736.1	256	0.804	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.30357.1	ENST00000413768.5	256	0.302	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.30357.1	ENST00000437781.5	256	0.83	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.30357.1	PB.164508.1	256	0.944	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.30357.1	PB.96069.2	256	0.882	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.118860.1	NA	4	NA	novel_in_catalog	not_rescued	ML_probability	unknown	unknown
PB.15672.2	PB.164508.1	0	0.944	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.15672.2	ENST00000437781.5	256	0.83	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.15672.2	PB.137290.2	256	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.15672.2	ENST00000413768.5	256	0.302	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.137290.1	PB.137290.2	0	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.137290.1	ENST00000447898.5	256	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.124736.3	PB.137290.2	0	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.124736.3	ENST00000447898.5	256	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.124736.4	PB.137290.2	0	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.124736.4	ENST00000447898.5	256	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.130815.3	PB.137290.2	0	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.130815.3	ENST00000447898.5	256	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.30357.3	ENST00000447898.5	0	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.30357.3	ENST00000437781.5	256	0.83	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.30357.3	PB.137290.2	256	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.30357.3	PB.164508.1	256	0.944	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.30357.3	ENST00000413768.5	256	0.302	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.3796.1	PB.124736.1	0	0.804	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.124736.1
PB.83094.2	PB.124736.1	0	0.804	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.83094.2	ENST00000437781.5	256	0.83	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.83094.2	PB.164508.1	256	0.944	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.83094.2	PB.96069.2	256	0.882	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.83094.2	PB.137290.2	256	0.81	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.83094.2	ENST00000413768.5	256	0.302	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.83094.3	PB.137290.2	0	0.81	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.83094.3	PB.124736.1	256	0.804	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.83094.3	ENST00000413768.5	256	0.302	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.83094.3	ENST00000437781.5	256	0.83	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.83094.3	PB.164508.1	256	0.944	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.164508.1
PB.83094.3	PB.96069.2	256	0.882	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.164508.1
PB.143795.2	PB.137290.2	0	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.143795.2	ENST00000447898.5	256	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.143795.3	ENST00000447898.5	0	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.143795.3	PB.137290.2	256	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.8631.2	PB.124736.1	0	0.804	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.124736.1
PB.137290.3	ENST00000447898.5	0	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.137290.3	PB.137290.2	256	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.3796.2	PB.124736.1	0	0.804	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.124736.1
PB.164508.2	ENST00000447898.5	0	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.164508.2	PB.137290.2	256	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.143795.4	ENST00000447898.5	0	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.143795.4	PB.137290.2	256	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.130815.5	PB.137290.2	0	0.81	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.130815.5	ENST00000447898.5	256	0.28	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.164508.3	PB.137290.2	0	0.81	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.137290.2
PB.164508.3	ENST00000447898.5	256	0.28	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.137290.2
PB.130815.6	ENST00000657965.1	0	0.508	novel_in_catalog	not_rescued	ML_probability	unknown	unknown
PB.83095.1	PB.83095.3	0	0.904	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.1	ENST00000592107.5	256	0.898	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.1	PB.83095.4	256	0.872	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.1	ENST00000592918.5	256	0.912	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.1	PB.52882.2	256	0.966	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.52882.2
PB.83095.1	PB.75665.2	256	0.952	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.75665.1	ENST00000592918.5	0	0.912	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.75665.1	PB.75665.2	256	0.952	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.75665.1	PB.52882.2	256	0.966	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.52882.2
PB.75665.1	ENST00000588548.1	256	0.562	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.60583.1	PB.52882.2	0	0.966	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.52882.2
PB.60583.1	ENST00000592918.5	256	0.912	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.60583.1	PB.75665.2	256	0.952	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.68183.1	ENST00000592918.5	0	0.912	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.68183.1	PB.52882.2	256	0.966	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.52882.2
PB.68183.1	PB.75665.2	256	0.952	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.2	PB.83095.4	0	0.872	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.2	ENST00000592107.5	256	0.898	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.2	PB.83095.3	256	0.904	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.83095.2	PB.52882.2	256	0.966	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.52882.2
PB.37825.1	PB.52882.2	0	0.966	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.52882.2
PB.37825.1	ENST00000592918.5	256	0.912	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.52882.2
PB.111553.1	ENST00000609932.5	0	0.632	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130816.1
PB.111553.1	PB.124737.1	256	0.78	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130816.1
PB.111553.1	ENST00000441006.5	256	0.898	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130816.1
PB.111553.1	PB.130816.1	256	0.942	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130816.1
PB.143796.1	PB.130816.1	0	0.942	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130816.1
PB.130817.2	ENST00000319363.11	0	0.974	novel_not_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000319363.11
PB.130817.2	PB.143797.1	256	0.786	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.130817.2	ENST00000612619.1	256	0.722	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.130817.2	PB.150482.1	256	0.8	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.137291.1	PB.143797.1	0	0.786	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.137291.1	ENST00000319363.11	256	0.974	novel_not_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000319363.11
PB.137291.1	ENST00000612619.1	256	0.722	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.137291.1	PB.150482.1	256	0.8	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.157382.1	ENST00000319363.11	0	0.974	novel_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000319363.11
PB.157382.1	PB.150482.1	256	0.8	novel_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.157382.1	PB.143797.1	256	0.786	novel_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.157382.1	ENST00000612619.1	256	0.722	novel_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.157383.1	ENST00000319363.11	0	0.974	novel_not_in_catalog	rescued_mapping	NA	reference_transcript	ENST00000319363.11
PB.157383.1	ENST00000612619.1	256	0.722	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.157383.1	PB.143797.1	256	0.786	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000319363.11
PB.30360.1	PB.37826.1	0	0.914	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.30360.1	ENST00000155674.9	256	0.274	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.30360.1	ENST00000336737.8	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.30360.1	PB.30360.2	256	0.99	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.1	ENST00000336737.8	0	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.1	PB.30360.2	256	0.99	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.1	PB.88755.1	256	0.922	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
