Version	5.3.4
Input	/home/pabloati/Programs/sqanti3/example/UHR_chr22.gtf
Annotation	/home/pabloati/Programs/sqanti3/example/gencode.v38.basic_chr22.gtf
Genome	/home/pabloati/Programs/sqanti3/example/GRCh38.p13_chr22.fasta
MinRefLength	0
ForceIdIgnore	False
Aligner	minimap2
FLCount	/home/pabloati/Programs/sqanti3/example/UHR_abundance.tsv
Expression	NA
Junction	NA
CAGEPeak	/home/pabloati/Programs/sqanti3/data/ref_TSS_annotation/human.refTSS_v3.1.hg38.bed
PolyAMotif	/home/pabloati/Programs/sqanti3/data/polyA_motifs/mouse_and_human.polyA_motif.txt
PolyAPeak	NA
IsFusion	False
PhyloP	NA
SkipORF	False
ORFInput	NA
FASTAused	False
Expression	NA
GMAPindex	NA
OutputPrefix	UHR_chr22
OutputDirectory	/home/pabloati/Programs/sqanti3/example/SQANTI3_QC_output
Coverage	NA
CanonicalSites	ATAC,GCAG,GTAG
PostTTSWindow	20
GeneName	False
ReportType	both
RunIsoAnnotLite	False
isoAnnotGFF3	NA
ShortReads	/home/pabloati/Programs/sqanti3/example/UHR_chr22_short_reads.fofn
ShortReadsBAMs	NA
ratioTSSmetric	max
