/home/pabloati/miniforge3/envs/sqanti3/bin/psauron -i /home/pabloati/Programs/sqanti3/example/SQANTI3_QC_reference/TD2/longest_orfs.cds -o /home/pabloati/Programs/sqanti3/example/SQANTI3_QC_reference/TD2/psauron_score.csv -m 0 --inframe 0.5 -s
psauron score: 49.0
description,psauron_is_protein,in-frame_score
ENST00000635667.1.p1,True,0.99842
ENST00000422332.1.p1,True,0.99504
ENST00000672261.1.p1,True,0.77612
ENST00000672261.1.p2,True,0.93979
ENST00000672261.1.p3,True,0.90725
ENST00000672261.1.p4,False,0.14054
ENST00000672261.1.p5,False,0.08399
ENST00000672261.1.p6,True,0.98981
ENST00000672261.1.p7,False,0.09284
ENST00000657566.1.p1,True,0.99149
ENST00000657566.1.p2,True,0.99999
ENST00000657566.1.p3,True,0.99975
ENST00000657645.1.p1,True,0.99999
ENST00000657645.1.p2,True,0.99975
ENST00000657645.1.p3,True,0.53866
ENST00000623391.1.p1,False,0.08988
ENST00000425869.1.p1,True,0.98983
ENST00000425869.1.p2,True,0.99221
ENST00000429435.1.p1,True,0.98712
ENST00000643195.1.p1,True,0.98447
ENST00000412729.1.p1,False,0.48129
ENST00000443989.1.p1,True,0.99801
ENST00000417863.1.p1,True,0.99561
ENST00000417863.1.p2,False,0.07224
ENST00000417863.1.p3,False,0.02803
ENST00000417863.1.p4,True,0.87876
ENST00000456143.1.p1,True,0.71838
ENST00000456143.1.p2,True,0.99428
ENST00000456143.1.p3,True,0.79043
ENST00000438441.1.p1,True,0.99931
ENST00000438441.1.p2,True,0.99974
ENST00000426025.1.p1,True,0.92249
ENST00000426025.1.p2,True,0.94027
ENST00000435410.1.p1,True,0.83884
ENST00000435410.1.p2,True,0.70449
ENST00000343518.11.p1,True,0.99411
ENST00000343518.11.p2,True,0.99889
ENST00000621704.4.p1,True,0.99726
ENST00000621704.4.p2,True,0.99889
ENST00000417657.1.p1,True,0.99932
ENST00000453395.5.p1,False,0.20368
ENST00000423297.1.p1,False,0.09713
ENST00000413768.5.p1,False,0.09587
ENST00000657965.1.p1,False,0.44409
ENST00000657965.1.p2,True,0.78078
ENST00000657965.1.p3,False,0.13973
ENST00000414726.1.p1,True,0.93365
ENST00000456786.2.p1,True,0.79826
ENST00000420638.2.p1,False,0.10159
ENST00000420638.2.p2,True,0.50046
ENST00000398242.2.p1,True,0.98491
ENST00000398242.2.p2,True,0.85468
ENST00000424770.1.p1,True,0.52216
ENST00000424770.1.p2,True,0.58516
ENST00000399687.3.p1,False,0.00352
ENST00000399687.3.p2,True,0.99945
ENST00000399687.3.p3,True,0.99949
ENST00000421957.1.p1,True,0.88433
ENST00000421957.1.p2,True,0.71489
ENST00000421957.1.p3,False,0.48168
ENST00000623630.1.p1,True,0.99504
ENST00000493696.2.p1,True,0.98917
ENST00000493696.2.p2,True,0.98776
ENST00000359963.4.p1,True,0.98417
ENST00000430910.1.p1,True,0.99887
ENST00000558085.6.p1,False,0.03427
ENST00000592918.5.p1,False,0.49704
ENST00000592107.5.p1,False,0.49704
ENST00000591299.1.p1,False,0.2896
ENST00000591299.1.p2,False,0.38613
ENST00000588548.1.p1,True,0.89599
ENST00000588548.1.p2,True,0.8597
ENST00000588548.1.p3,True,0.99936
ENST00000456726.5.p1,True,0.99586
ENST00000456726.5.p2,True,0.99444
ENST00000434304.2.p1,True,0.99704
ENST00000423580.2.p1,True,0.98878
ENST00000423580.2.p2,True,0.98096
ENST00000457911.1.p1,True,0.99158
ENST00000457911.1.p2,True,0.99963
ENST00000457911.1.p3,True,0.99889
ENST00000457911.1.p4,True,0.99377
ENST00000331428.5.p1,True,0.89913
ENST00000684488.1.p1,True,0.89913
ENST00000637740.1.p1,True,0.83381
ENST00000404435.1.p1,True,0.99828
ENST00000404435.1.p2,True,0.972
ENST00000404435.1.p3,True,0.99812
ENST00000404435.1.p4,True,0.96618
ENST00000412238.1.p1,False,0.02653
ENST00000458718.2.p1,True,0.58529
ENST00000523309.2.p1,True,0.96637
ENST00000521497.2.p1,False,0.1855
ENST00000400588.5.p1,True,0.97131
ENST00000400588.5.p2,False,0.072
ENST00000400588.5.p3,False,0.05231
ENST00000643316.1.p1,True,0.96234
ENST00000643316.1.p2,False,0.072
ENST00000614184.1.p1,False,0.26292
ENST00000614184.1.p2,False,0.28695
ENST00000614184.1.p3,False,0.03907
ENST00000441006.5.p1,False,0.01539
ENST00000609932.5.p1,False,0.01639
ENST00000636648.1.p1,False,0.32064
ENST00000612619.1.p1,False,0.14165
ENST00000612619.1.p2,False,0.45276
ENST00000612619.1.p3,True,0.95689
ENST00000612619.1.p4,True,0.95864
ENST00000612619.1.p5,False,0.00614
ENST00000612619.1.p6,False,0.00577
ENST00000319363.11.p1,False,0.00577
ENST00000319363.11.p2,False,0.45276
ENST00000319363.11.p3,True,0.96314
ENST00000319363.11.p4,True,0.96332
ENST00000331437.4.p1,False,0.04479
ENST00000331437.4.p2,False,0.01838
ENST00000331437.4.p3,False,0.03748
ENST00000331437.4.p4,False,0.0167
ENST00000331437.4.p5,True,0.80422
ENST00000331437.4.p6,True,0.81793
ENST00000399875.1.p1,False,0.04479
ENST00000399875.1.p2,False,0.06076
