/home/pabloati/miniforge3/envs/sqanti3/bin/psauron -i /home/pabloati/Programs/sqanti3/example/SQANTI3_QC_output/TD2/longest_orfs.cds -o /home/pabloati/Programs/sqanti3/example/SQANTI3_QC_output/TD2/psauron_score.csv -m 0 --inframe 0.5 -s
psauron score: 56.8
description,psauron_is_protein,in-frame_score
PB.83093.1.p1,True,0.99804
PB.83093.1.p2,True,0.58993
PB.96068.1.p1,False,0.3129
PB.96068.1.p2,True,0.54611
PB.124735.1.p1,False,0.01166
PB.137288.1.p1,False,0.01436
PB.124736.1.p1,False,0.00092
PB.124736.1.p2,False,0.06873
PB.124736.2.p1,False,0.40306
PB.15672.2.p1,False,0.09587
PB.103684.1.p1,True,0.72095
PB.3796.1.p1,False,0.00092
PB.3796.1.p2,False,0.06873
PB.3796.1.p3,False,0.15928
PB.8631.2.p1,False,0.00092
PB.8631.2.p2,False,0.06873
PB.3796.2.p1,False,0.15928
PB.3796.2.p2,False,0.00092
PB.3796.2.p3,False,0.06873
PB.143795.4.p1,False,0.37181
PB.130815.6.p1,False,0.26133
PB.130815.6.p2,False,0.48368
PB.130815.6.p3,True,0.78078
PB.130815.6.p4,True,0.84958
PB.164510.1.p1,False,0.40306
PB.83095.1.p1,True,0.83513
PB.75665.1.p1,False,0.07744
PB.60583.1.p1,True,0.65572
PB.60583.1.p2,False,0.38613
PB.68183.1.p1,True,0.77472
PB.68183.1.p2,False,0.49704
PB.8632.1.p1,True,0.89916
PB.8632.1.p2,False,0.01657
PB.8632.1.p3,True,0.86374
PB.8632.1.p4,True,0.89231
PB.8632.1.p5,False,0.0171
PB.8632.1.p6,False,0.00473
PB.83095.2.p1,True,0.62584
PB.83095.2.p2,False,0.38613
PB.83095.3.p1,False,0.49704
PB.3797.1.p1,False,0.0171
PB.3797.1.p2,False,0.00473
PB.3797.1.p3,False,0.11413
PB.3797.1.p4,False,0.01657
PB.3797.1.p5,False,0.49704
PB.37825.1.p1,False,0.27274
PB.52882.2.p1,False,0.38613
PB.83095.4.p1,False,0.38613
PB.8632.2.p1,False,0.0171
PB.8632.2.p2,False,0.00473
PB.8632.2.p3,False,0.01657
PB.75665.2.p1,False,0.03228
PB.52883.1.p1,True,0.89913
PB.130816.1.p1,False,0.36733
PB.130816.1.p2,False,0.02688
PB.130816.1.p3,False,0.01539
PB.124737.1.p1,False,0.01448
PB.111553.1.p1,False,0.01639
PB.143796.1.p1,False,0.01539
PB.45356.1.p1,False,0.18662
PB.45356.1.p2,True,0.92716
PB.45356.1.p3,False,0.00336
PB.143797.1.p1,True,0.73519
PB.143797.1.p2,True,0.6852
PB.143797.1.p3,False,0.00598
PB.143797.1.p4,False,0.14165
PB.143797.1.p5,True,0.98537
PB.75666.1.p1,False,0.00636
PB.75666.1.p2,False,0.11945
PB.75666.1.p3,False,0.35322
PB.75666.1.p4,False,0.27909
PB.68184.2.p1,False,0.00614
PB.68184.2.p2,False,0.15189
PB.68184.2.p3,True,0.87114
PB.68184.2.p4,True,0.85288
PB.130817.2.p1,False,0.00614
PB.130817.2.p2,False,0.15189
PB.130817.2.p3,True,0.98414
PB.130817.2.p4,True,0.73701
PB.130817.2.p5,True,0.6852
PB.137291.1.p1,True,0.65855
PB.137291.1.p2,True,0.74346
PB.137291.1.p3,True,0.98537
PB.137291.1.p4,False,0.47403
PB.137291.1.p5,True,0.74435
PB.137291.1.p6,False,0.00176
PB.150482.1.p1,True,0.95727
PB.150482.1.p2,True,0.95864
PB.150482.1.p3,False,0.21164
PB.157383.1.p1,False,0.02514
PB.157383.1.p2,False,0.02349
PB.157383.1.p3,False,0.02731
PB.157383.1.p4,True,0.98537
PB.60584.1.p1,True,0.89868
PB.60584.1.p2,True,0.99838
PB.37826.1.p1,True,0.97555
PB.30360.1.p1,False,0.40962
PB.30360.1.p2,True,0.66921
PB.30360.1.p3,False,0.01146
PB.45357.1.p1,False,0.01858
PB.45357.1.p2,True,0.95667
PB.45357.1.p3,True,0.96141
PB.45357.2.p1,False,0.02213
PB.45357.2.p2,True,0.97374
PB.45357.2.p3,True,0.97766
PB.124739.1.p1,True,0.98453
PB.60585.3.p1,True,0.97041
PB.60585.3.p2,True,0.9723
PB.60585.2.p1,False,0.02287
PB.60585.2.p2,True,0.93041
PB.60585.2.p3,True,0.94133
PB.30360.2.p1,False,0.02287
PB.30360.2.p2,True,0.96558
PB.30360.2.p3,True,0.97058
PB.96070.1.p1,True,0.65798
PB.96070.1.p2,False,0.23298
PB.88755.1.p1,True,0.96497
PB.88755.1.p2,False,0.02213
PB.88755.1.p3,True,0.96782
PB.88755.1.p4,True,0.98237
PB.22970.1.p1,False,0.01146
PB.22970.1.p2,True,0.98453
PB.45357.3.p1,False,0.02761
PB.45357.3.p2,True,0.97684
PB.45357.3.p3,True,0.72369
PB.45357.4.p1,True,0.95807
PB.45357.4.p2,True,0.96356
PB.45357.4.p3,False,0.02186
PB.68185.2.p1,True,0.95792
PB.68185.2.p2,True,0.97394
PB.68185.2.p3,False,0.02186
PB.68185.2.p4,False,0.23298
PB.137292.1.p1,False,0.01108
PB.137292.1.p2,True,0.97616
PB.137292.1.p3,True,0.99016
PB.83097.1.p1,True,0.98804
PB.83097.1.p2,True,0.98217
PB.68185.3.p1,True,0.97307
PB.68185.3.p2,True,0.97555
PB.52884.2.p1,False,0.0114
PB.37827.1.p1,False,0.17585
PB.157384.1.p1,True,0.99919
PB.157384.1.p2,False,0.01318
PB.157384.1.p3,False,0.00571
PB.157384.1.p4,False,0.00547
PB.137293.1.p1,False,0.00547
PB.137293.1.p2,True,0.99908
PB.137293.1.p3,True,0.99913
PB.137293.1.p4,False,0.01318
PB.137293.1.p5,False,0.00571
PB.88756.1.p1,False,0.00547
PB.88756.1.p2,True,0.99191
PB.88756.1.p3,True,0.99399
PB.88756.1.p4,False,0.01318
PB.88756.1.p5,False,0.00571
PB.130818.1.p1,False,0.00547
PB.130818.1.p2,True,0.99816
PB.130818.1.p3,False,0.01318
PB.130818.1.p4,False,0.00571
PB.8633.1.p1,False,0.01009
PB.96071.1.p1,True,0.99954
PB.96071.1.p2,True,0.99969
PB.75667.1.p1,True,0.9985
PB.83098.2.p1,True,0.9985
PB.137294.1.p1,True,0.99807
PB.137294.1.p2,True,0.99813
PB.22971.2.p1,True,0.99849
PB.137294.2.p1,True,0.97996
PB.137294.2.p2,True,0.99807
PB.130819.2.p1,True,0.99776
PB.130819.3.p1,True,0.99807
PB.143799.1.p1,True,0.99482
PB.143799.1.p2,True,0.99862
PB.130819.4.p1,True,0.99807
PB.130819.4.p2,True,0.99849
PB.103688.1.p1,True,0.9988
PB.103688.1.p2,True,0.97698
PB.96072.1.p1,True,0.99906
PB.137294.3.p1,True,0.99807
PB.75668.1.p1,True,0.99867
PB.137294.5.p1,True,0.99807
PB.137294.4.p1,True,0.99482
PB.137294.4.p2,True,0.99891
PB.130819.6.p1,True,0.99693
PB.137294.6.p1,True,0.99776
PB.45359.1.p1,True,0.99704
PB.45359.1.p2,True,0.97698
PB.30362.1.p1,True,0.99971
PB.157385.1.p1,True,0.99658
PB.157385.1.p2,True,0.99482
PB.22972.1.p1,True,0.98793
PB.22972.1.p2,True,0.99157
PB.130820.1.p1,False,0.11815
PB.45360.1.p1,True,0.99152
PB.83099.2.p1,True,0.94927
PB.83099.2.p2,True,0.99714
PB.103689.1.p1,True,0.99934
PB.103689.1.p2,True,0.99583
PB.96073.1.p1,True,0.99583
PB.96073.1.p2,False,0.00036
PB.103689.2.p1,True,0.99583
PB.103689.2.p2,False,0.03259
PB.75669.1.p1,True,0.98511
PB.22974.1.p1,False,0.03077
PB.88758.1.p1,True,0.99998
PB.88758.1.p2,True,0.99996
PB.88758.1.p3,False,0.01242
PB.88758.1.p4,False,0.00049
PB.88758.1.p5,False,0.00751
PB.88758.1.p6,False,0.31275
PB.130821.2.p1,False,0.00857
PB.130821.2.p2,False,0.31275
PB.130821.2.p3,True,0.99998
PB.130821.2.p4,True,0.99996
PB.130821.2.p5,False,0.01242
PB.130821.2.p6,False,0.00049
PB.130821.2.p7,False,0.00751
PB.45361.1.p1,False,0.00751
PB.45361.1.p2,False,0.31275
PB.3798.1.p1,False,0.00049
PB.3798.1.p2,False,0.00751
PB.3798.1.p3,False,0.00167
PB.3798.1.p4,False,0.31275
PB.3798.1.p5,False,0.01635
PB.3798.1.p6,False,0.01934
PB.3798.1.p7,True,0.99996
PB.3798.1.p8,False,0.01242
PB.124742.1.p1,True,0.99995
PB.124742.1.p2,True,0.99996
PB.124742.1.p3,False,0.01242
PB.124742.1.p4,False,0.00049
PB.124742.1.p5,False,0.00751
PB.124742.1.p6,False,0.31275
PB.8635.1.p1,True,0.99904
PB.8635.1.p2,True,0.99923
PB.8635.1.p3,False,0.01242
PB.8635.1.p4,False,5e-05
PB.8635.1.p5,False,3e-05
PB.8635.1.p6,False,0.00049
PB.8635.1.p7,False,0.00751
PB.8635.1.p8,False,0.31275
PB.45362.1.p1,False,0.00998
PB.45362.1.p2,False,0.0065
PB.45362.1.p3,True,0.58672
PB.3799.1.p1,True,0.9927
PB.3799.1.p2,False,0.0065
PB.3799.1.p3,True,0.58672
PB.3799.2.p1,True,0.99144
PB.3799.2.p2,True,0.55559
PB.3799.2.p3,False,0.1443
PB.68190.1.p1,False,0.07702
PB.68190.1.p2,False,0.05694
PB.75670.1.p1,True,0.88347
PB.68189.1.p1,True,0.90461
PB.68189.1.p2,True,0.91912
PB.157386.1.p1,True,0.91912
PB.150483.1.p1,True,0.91912
PB.150483.1.p2,False,0.1245
PB.130822.1.p1,False,0.02805
PB.30364.2.p1,True,0.77981
PB.45363.1.p1,True,0.78135
PB.37831.1.p1,True,0.71171
PB.103690.1.p1,True,0.96687
PB.103690.1.p2,False,0.45994
PB.103690.2.p1,True,0.98955
PB.83100.1.p1,False,0.16438
PB.52887.2.p1,False,0.42055
PB.52887.2.p2,False,0.00421
PB.52887.1.p1,True,0.97351
PB.52887.1.p2,True,0.9833
PB.52887.1.p3,False,0.00426
PB.60587.1.p1,False,0.06529
PB.60587.1.p2,False,0.01138
PB.68191.2.p1,False,0.00403
PB.68191.2.p2,False,0.00426
PB.68191.3.p1,True,0.99944
PB.68191.3.p2,True,0.83611
PB.8637.1.p1,True,0.9754
PB.8637.1.p2,True,0.97558
PB.8637.1.p3,False,8e-05
PB.111560.1.p1,False,0.02976
PB.111560.1.p2,True,0.97075
PB.68192.1.p1,True,0.96362
PB.137295.1.p1,False,0.0546
PB.137295.1.p2,False,0.01756
PB.137295.1.p3,False,0.00704
PB.137295.1.p4,False,0.11892
PB.137295.1.p5,False,0.00231
PB.137295.1.p6,False,0.00123
PB.8639.2.p1,True,0.68338
PB.8639.2.p2,False,0.00721
PB.8639.2.p3,False,0.0014
PB.8639.2.p4,False,0.22767
PB.8639.2.p5,False,0.16014
PB.8639.2.p6,True,0.99888
PB.8639.2.p7,False,0.0196
PB.8639.2.p8,False,0.01991
PB.137296.1.p1,False,0.22767
PB.137296.1.p2,True,0.99929
PB.137296.1.p3,False,0.0196
PB.137296.1.p4,False,0.01991
PB.137296.1.p5,False,0.00419
PB.137296.1.p6,False,0.00721
PB.8639.5.p1,True,0.96909
PB.8639.5.p2,False,0.0196
PB.8639.5.p3,False,0.01991
PB.8639.5.p4,False,0.00047
PB.8639.5.p5,False,0.00721
PB.8639.5.p6,False,0.15212
PB.88761.1.p1,False,0.27987
PB.88761.1.p2,False,0.22767
PB.88761.1.p3,True,0.99694
PB.88761.1.p4,False,0.0196
PB.88761.1.p5,False,0.01991
PB.88761.1.p6,False,0.16815
PB.88761.1.p7,False,0.00047
PB.88761.1.p8,False,0.00308
PB.45364.1.p1,False,0.22767
PB.45364.1.p2,False,0.01991
PB.8639.6.p1,False,0.16096
PB.8639.6.p2,False,0.22767
PB.8639.6.p3,True,0.92419
PB.8639.6.p4,False,0.0196
PB.8639.6.p5,False,0.01991
PB.8639.6.p6,False,0.00047
PB.8639.6.p7,False,0.00553
PB.130824.1.p1,False,0.00721
PB.130824.1.p2,False,0.22767
PB.130824.1.p3,True,0.99847
PB.130824.1.p4,True,0.99888
PB.130824.1.p5,False,0.0196
PB.130824.1.p6,False,0.01991
PB.124744.2.p1,False,0.00051
PB.124744.2.p2,False,0.00028
PB.124744.2.p3,False,0.00721
PB.124744.2.p4,False,0.22767
PB.124744.2.p5,True,0.99147
PB.124744.2.p6,True,0.99732
PB.124744.2.p7,False,0.0196
PB.124744.2.p8,False,0.01991
PB.8639.7.p1,True,0.97436
PB.8639.7.p2,False,0.0196
PB.8639.7.p3,False,0.01991
PB.8639.7.p4,False,0.00121
PB.8639.7.p5,False,0.00721
PB.8639.7.p6,False,0.15212
PB.8639.7.p7,False,0.22767
PB.88761.3.p1,False,0.00047
PB.88761.3.p2,False,0.00721
PB.88761.3.p3,False,0.22767
PB.88761.3.p4,True,0.98895
PB.88761.3.p5,True,0.99732
PB.88761.3.p6,False,0.0196
PB.88761.3.p7,False,0.01991
PB.137296.2.p1,False,0.00384
PB.137296.2.p2,False,0.22767
PB.137296.2.p3,True,0.99935
PB.137296.2.p4,False,0.0196
PB.137296.2.p5,False,0.01991
PB.8639.8.p1,False,0.00721
PB.8639.8.p2,False,0.16014
PB.8639.8.p3,False,0.22767
PB.8639.8.p4,True,0.98553
PB.8639.8.p5,False,0.0196
PB.8639.8.p6,False,0.01991
PB.88761.4.p1,False,0.22767
PB.88761.4.p2,True,0.97244
PB.88761.4.p3,True,0.99732
PB.88761.4.p4,False,0.0196
PB.88761.4.p5,False,0.01991
PB.88761.4.p6,False,0.00047
PB.88761.4.p7,False,0.00721
PB.143804.2.p1,True,0.98027
PB.143804.2.p2,False,0.0196
PB.143804.2.p3,False,0.00047
PB.143804.2.p4,False,0.00721
PB.143804.2.p5,False,0.05268
PB.150485.3.p1,False,0.00047
PB.150485.3.p2,False,0.00721
