Version	5.1.3
Mode	ml
ClassificationFile	/home/fpardo/SQANTI3/example/SQANTI3_QC_output/UHR_chr22_classification.txt
Isoforms	example/SQANTI3_QC_output/UHR_chr22_corrected.fasta
GTF	example/SQANTI3_QC_output/UHR_chr22_corrected.gtf
SAM	NA
FAA	NA
isoAnnotGFF3	NA
OutputPrefix	UHR_chr22
OutputDirectory	/home/fpardo/SQANTI3/example/MLfilter_output
FilterMonoexonic	False
SkipReport	False
PercentTraining	0.8
TP	NA
TN	NA
Threshold	0.7
ForceFSM	False
KeepIntermediate	False
ColumnsRemoved	NA
MaxClassSize	3000
Intrapriming	60
