target_id	length	eff_length	est_counts	tpm
PB.118859.1	320	155.317	1	160.053
PB.83093.1	988	820.501	0	0
PB.52878.1	1688	1520.5	1.13371	18.5353
PB.96068.1	794	626.501	0	0
PB.111548.1	534	366.501	0	0
PB.124735.1	3761	3593.5	6	41.5065
PB.137288.1	3192	3024.5	0	0
PB.137289.1	3046	2878.5	1.00846	8.70909
PB.52879.1	1773	1605.5	0	0
PB.68181.1	1472	1304.5	5.35336	102.015
PB.30357.1	2003	1835.5	0	0
PB.124736.1	3699	3531.5	2.60947	18.3686
PB.68182.1	1430	1262.5	0	0
PB.124736.2	3567	3399.5	0	0
PB.118860.1	224	70.9557	0	0
PB.30357.2	2027	1859.5	7.02971	93.9774
PB.15672.2	2304	2136.5	11.1804	130.087
PB.137290.1	3072	2904.5	0	0
PB.124736.3	3501	3333.5	0	0
PB.124736.4	3467	3299.5	0	0
PB.130815.3	3252	3084.5	6.25337	50.3978
PB.103684.1	675	507.501	0	0
PB.30357.3	2023	1855.5	0	0
PB.103684.2	738	570.501	0	0
PB.111549.1	481	313.501	4.59087	364.032
PB.3796.1	5749	5581.5	36.7795	163.809
PB.83094.1	1008	840.501	3.19001	94.3488
PB.83094.2	1092	924.501	11.007	295.968
PB.130815.4	3430	3262.5	27.9936	213.3
PB.83094.3	1058	890.501	29.0093	809.813
PB.137290.2	3152	2984.5	0	0
PB.143795.2	2902	2734.5	0	0
PB.143795.3	2804	2636.5	0	0
PB.8631.2	4307	4139.5	13.8271	83.0355
PB.164508.1	2386	2218.5	46.0126	515.584
PB.137290.3	3114	2946.5	10.0445	84.7428
PB.3796.2	5327	5159.5	0	0
PB.111549.2	425	257.501	5.13397	495.63
PB.164508.2	2350	2182.5	0	0
PB.143795.4	2908	2740.5	5.78913	52.5129
PB.75664.1	1258	1090.5	0	0
PB.96069.2	725	557.501	0	0
PB.96069.3	863	695.501	0	0
PB.130815.5	3288	3120.5	12.6291	100.607
PB.164508.3	2469	2301.5	20.6124	222.638
PB.118861.1	283	120.953	5	1027.63
PB.111550.1	538	370.501	2.42029	162.391
PB.130815.6	3336	3168.5	30	235.369
PB.68182.2	1342	1174.5	15.3939	325.82
PB.37823.3	1865	1697.5	29	424.688
PB.96069.4	769	601.501	17.0364	704.083
PB.111551.1	570	402.501	11	679.373
PB.83094.6	1087	919.501	9	243.317
PB.118863.1	275	113.824	0	0
PB.164510.1	2412	2244.5	7	77.5283
PB.83095.1	983	815.501	0	0
PB.75665.1	1268	1100.5	0	0
PB.60583.1	1574	1406.5	8.74479	154.558
PB.68183.1	1482	1314.5	0	0
PB.8632.1	4276	4108.5	21.2406	128.518
PB.83095.2	1042	874.501	0	0
PB.83095.3	1160	992.501	0	0
PB.3797.1	6070	5902.5	35.8702	151.071
