isoform	structural_category	filter_reason
ENST00000216083.6	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000216187.10	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000255858.12	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000266095.9	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000325660.3	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000327813.9	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000329949.3	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000333487.2	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENST00000334679.4	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000343999.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000362927.1	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000362995.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000363462.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000363578.1	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000363813.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000364106.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000365046.1	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000365149.1	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000380990.5	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000381198.6	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000382641.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000384012.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000384114.1	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000384498.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000391267.1	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000391625.2	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000398356.6	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000400206.7	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000402174.5	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENST00000402844.7	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000403066.5	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000403268.1	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000407332.5	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000407373.5	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000407537.5	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000407623.7	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000410766.1	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000412938.5	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000413768.5	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000414725.6	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000417194.5	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000423180.2	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000424496.2	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000426452.2	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000430869.2	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000432032.1	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000434516.1	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000435439.5	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000438185.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000441167.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000441972.5	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000447565.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000449653.5	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000450651.5	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000458891.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000459160.1	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000463821.3	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000466709.3	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000468873.3	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000472240.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000485262.3	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000488827.3	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000490103.6	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000493791.3	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000496490.3	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000516104.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000516794.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000517100.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000532431.1	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENST00000543737.2	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000579233.2	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000602847.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000611762.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000613655.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000614234.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000615981.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000616394.1	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000617743.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000619837.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000619894.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000623630.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000624344.1	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000625194.4	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000629028.1	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000632196.1	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000635920.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000649288.1	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
ENST00000651884.1	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENST00000652399.1	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENST00000652665.1	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENST00000653280.1	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENST00000658408.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000661466.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENST00000662119.1	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
